Wall time,Step,Value
1712490050.839201,2,1.0
1712490051.602498,3,0.0
1712490053.007143,4,0.0
1712490054.45483,5,0.0
1712490055.943028,6,0.0
1712490058.480667,7,1.0
1712490061.540412,8,0.0
1712490062.536875,9,0.0
1712490064.243922,10,0.0
1712490066.010863,11,0.0
1712490069.222587,12,0.0
1712490070.431247,13,0.0
1712490071.876572,14,0.0
1712490074.116365,15,1.0
1712490077.0313,16,0.0
1712490079.565922,17,1.0
1712490081.604965,18,1.0
1712490083.686243,19,0.0
1712490087.307531,20,0.0
1712490090.403681,21,1.0
1712490093.534513,22,1.0
1712490094.438566,23,0.0
1712490097.3868,24,1.0
1712490099.949603,25,1.0
1712490101.224469,26,0.0
1712490103.085471,27,0.0
1712490105.582712,28,1.0
1712490107.647619,29,1.0
1712490110.522741,30,0.0
1712490113.01597,31,0.0
1712490114.606521,32,0.0
1712490117.561511,33,1.0
1712490121.250345,34,1.0
1712490124.511733,35,0.0
1712490126.581908,36,0.0
1712490128.07856,37,0.0
1712490130.214899,38,1.0
1712490131.340761,39,0.0
1712490134.882425,40,1.0
1712490137.172184,41,1.0
1712490138.543156,42,0.0
1712490139.928875,43,0.0
1712490143.042864,44,1.0
1712490146.50552,45,0.0
1712490149.26587,46,0.0
1712490151.687393,47,0.0
1712490154.693988,48,1.0
1712490156.852241,49,1.0
1712490158.290038,50,0.0
1712490161.859028,51,0.0
1712490162.885027,52,0.0
1712490165.496536,53,0.0
1712490168.761339,54,1.0
1712490172.8411,55,1.0
1712490176.044204,56,1.0
1712490177.293759,57,0.0
1712490180.792807,58,1.0
1712490182.943635,59,1.0
1712490184.730791,60,0.0
1712490187.580175,61,1.0
1712490190.146952,62,1.0
1712490192.313643,63,0.0
1712490194.711919,64,1.0
1712490196.001031,65,0.0
1712490199.207086,66,0.0
1712490202.586159,67,0.0
1712490205.957443,68,1.0
1712490209.173137,69,1.0
1712490210.56919,70,0.0
1712490212.556074,71,0.0
1712490214.062311,72,0.0
1712490214.741107,73,0.0
1712490215.575049,74,0.0
1712490216.568548,75,0.0
1712490218.433544,76,0.0
1712490219.574718,77,0.0
1712490221.701931,78,1.0
1712490223.81654,79,1.0
1712490227.26504,80,1.0
1712490228.616958,81,0.0
1712490232.568689,82,1.0
1712490235.218281,83,0.0
1712490236.080228,84,0.0
1712490236.785145,85,0.0
1712490238.404278,86,0.0
1712490239.210881,87,0.0
1712490239.997909,88,0.0
1712490241.1964,89,0.0
1712490243.545886,90,1.0
1712490247.398431,91,1.0
1712490250.020187,92,1.0
1712490251.382237,93,0.0
1712490254.32889,94,1.0
1712490256.047331,95,0.0
1712490259.505956,96,1.0
1712490260.359259,97,0.0
1712490262.152977,98,0.0
1712490264.07665,99,0.0
1712490266.403104,100,0.0
1712490267.912729,101,0.0
1712490269.793646,102,0.0
1712490272.224585,103,1.0
1712490274.630718,104,1.0
1712490277.083831,105,0.0
1712490279.784122,106,1.0
1712490282.613121,107,0.0
1712490285.585942,108,1.0
1712490288.608089,109,1.0
1712490290.756101,110,1.0
1712490293.153159,111,0.0
1712490294.254997,112,0.0
1712490297.750234,113,0.0
1712490298.98492,114,0.0
1712490300.132074,115,0.0
1712490302.442947,116,1.0
1712490303.569082,117,0.0
1712490306.226036,118,1.0
1712490310.025601,119,0.0
1712490312.824877,120,1.0
1712490315.6123,121,0.0
1712490319.393976,122,0.0
1712490320.911936,123,0.0
1712490324.096241,124,1.0
1712490325.817015,125,0.0
1712490328.738645,126,0.0
1712490331.535316,127,0.0
1712490335.261429,128,0.0
1712490336.560477,129,0.0
1712490337.634613,130,0.0
1712490340.812283,131,0.0
1712490341.963102,132,0.0
1712490344.450226,133,1.0
1712490346.925013,134,0.0
1712490347.84817,135,0.0
1712490351.014961,136,0.0
1712490351.936439,137,0.0
1712490354.849702,138,0.0
1712490356.27775,139,0.0
1712490357.221689,140,0.0
1712490359.425168,141,1.0
1712490361.288775,142,0.0
1712490363.375623,143,0.0
1712490365.297468,144,0.0
1712490368.164905,145,1.0
1712490369.114994,146,0.0
1712490372.245691,147,0.0
1712490373.376884,148,0.0
1712490374.942725,149,0.0
1712490375.77492,150,0.0
1712490378.884731,151,1.0
1712490382.82593,152,1.0
1712490385.400919,153,0.0
1712490388.454569,154,1.0
1712490390.367146,155,0.0
1712490391.202157,156,0.0
1712490393.645436,157,1.0
1712490396.486629,158,1.0
1712490398.673551,159,0.0
1712490401.135344,160,0.0
1712490403.916148,161,0.0
1712490406.398424,162,1.0
1712490410.218364,163,1.0
1712490411.531532,164,0.0
1712490415.779817,165,1.0
1712490417.625249,166,0.0
1712490420.763282,167,1.0
1712490422.818169,168,0.0
1712490423.899412,169,0.0
1712490427.167555,170,1.0
1712490430.167481,171,1.0
1712490433.271411,172,0.0
1712490434.05057,173,0.0
1712490436.553516,174,1.0
1712490438.222736,175,0.0
1712490442.027703,176,1.0
1712490445.220758,177,0.0
1712490446.760981,178,0.0
1712490450.118939,179,1.0
1712490451.1394,180,0.0
1712490454.290477,181,0.0
1712490457.649793,182,0.0
1712490461.032846,183,0.0
1712490463.731344,184,0.0
1712490467.720099,185,1.0
1712490469.299788,186,0.0
1712490470.598452,187,0.0
1712490474.52868,188,1.0
1712490477.838371,189,1.0
1712490481.152436,190,1.0
1712490482.641842,191,0.0
1712490484.233414,192,0.0
1712490485.384874,193,0.0
1712490489.600314,194,1.0
1712490491.293903,195,0.0
1712490492.120279,196,0.0
1712490494.900833,197,1.0
1712490496.638618,198,0.0
1712490498.855701,199,0.0
1712490501.474918,200,1.0
1712490503.770967,201,1.0
1712490506.305952,202,0.0
1712490508.717123,203,1.0
1712490511.109232,204,0.0
1712490512.378173,205,0.0
1712490513.50268,206,0.0
1712490516.747341,207,0.0
1712490518.983691,208,0.0
1712490521.777645,209,0.0
1712490523.442817,210,0.0
1712490525.693649,211,1.0
1712490526.902707,212,0.0
1712490530.689307,213,0.0
1712490532.680699,214,0.0
1712490535.43798,215,1.0
1712490538.661321,216,1.0
1712490540.447776,217,0.0
1712490542.843343,218,0.0
1712490546.709025,219,1.0
1712490549.637934,220,1.0
1712490552.084289,221,1.0
1712490553.812031,222,0.0
1712490556.149379,223,0.0
1712490557.951761,224,0.0
1712490560.689211,225,1.0
1712490563.575742,226,1.0
1712490565.55707,227,0.0
1712490568.195241,228,1.0
1712490571.665722,229,0.0
1712490572.954899,230,0.0
1712490573.666368,231,0.0
1712490577.038491,232,1.0
1712490578.671837,233,0.0
1712490582.176598,234,0.0
1712490583.151243,235,0.0
1712490583.787656,236,0.0
1712490584.569527,237,0.0
1712490585.972191,238,0.0
1712490589.65854,239,0.0
1712490591.943611,240,0.0
1712490594.157194,241,0.0
1712490597.353166,242,0.0
1712490598.378476,243,0.0
1712490599.116155,244,0.0
1712490601.143626,245,0.0
1712490603.128371,246,0.0
1712490607.504701,247,1.0
1712490610.190919,248,1.0
1712490612.787914,249,1.0
1712490616.805701,250,1.0
1712490618.317863,251,0.0
1712490621.921938,252,0.0
1712490624.367674,253,1.0
1712490625.82489,254,0.0
1712490628.100312,255,0.0
1712490632.457619,256,1.0
1712490635.286367,257,1.0
1712490637.543982,258,1.0
1712490638.2477,259,0.0
1712490640.177368,260,0.0
1712490641.410013,261,0.0
1712490642.242567,262,0.0
1712490644.712402,263,0.0
