Wall time,Step,Value
1714376568.9631207,2,0.0
1714376569.0318835,3,1.0
1714376569.1833928,4,0.0
1714376569.2958815,5,0.0
1714376569.4998035,6,0.0
1714376569.6992369,7,0.0
1714376569.8993301,8,0.0
1714376570.2061803,9,1.0
1714376570.2786481,10,1.0
1714376570.4855592,11,0.0
1714376570.757441,12,0.0
1714376570.961236,13,0.0
1714376571.2513406,14,1.0
1714376571.5660486,15,0.0
1714376572.0812147,16,0.0
1714376572.324214,17,0.0
1714376572.4463365,18,0.0
1714376572.5771189,19,0.0
1714376573.2431498,20,1.0
1714376573.5555422,21,1.0
1714376573.6883578,22,0.0
1714376573.9135752,23,0.0
1714376574.0016286,24,1.0
1714376574.4691973,25,1.0
1714376574.646918,26,0.0
1714376574.7803633,27,0.0
1714376574.8487465,28,1.0
1714376574.9147375,29,1.0
1714376575.1647162,30,0.0
1714376575.3229344,31,0.0
1714376575.4945636,32,0.0
1714376575.697093,33,0.0
1714376575.844836,34,0.0
1714376576.0720093,35,0.0
1714376576.3595197,36,0.0
1714376576.525716,37,0.0
1714376576.6605976,38,0.0
1714376576.8353765,39,0.0
1714376577.290704,40,0.0
1714376577.406128,41,0.0
1714376577.5208778,42,0.0
1714376577.690398,43,1.0
1714376577.9494286,44,0.0
1714376578.0613372,45,0.0
1714376578.3238585,46,0.0
1714376578.4307947,47,0.0
1714376578.566335,48,0.0
1714376578.7125306,49,0.0
1714376578.817507,50,0.0
1714376578.9948158,51,1.0
1714376579.1547484,52,1.0
1714376579.7035482,53,1.0
1714376580.4570174,54,0.0
1714376580.6841128,55,0.0
1714376580.8986654,56,0.0
1714376581.1371458,57,0.0
1714376581.3584168,58,0.0
1714376581.5109415,59,0.0
1714376581.653635,60,1.0
1714376581.8695686,61,0.0
1714376582.0144897,62,0.0
1714376582.1045797,63,1.0
1714376582.213871,64,0.0
1714376582.404547,65,0.0
1714376582.7004497,66,1.0
1714376582.875977,67,0.0
1714376582.9216049,68,1.0
1714376583.08461,69,0.0
1714376583.2720232,70,0.0
1714376583.8022716,71,0.0
1714376583.957376,72,0.0
1714376584.484938,73,0.0
1714376584.9212654,74,0.0
1714376585.055395,75,0.0
1714376585.1927855,76,0.0
1714376585.3104324,77,0.0
1714376585.9382844,78,0.0
1714376586.1953547,79,0.0
1714376586.6042652,80,0.0
1714376586.7359102,81,0.0
1714376586.9584346,82,1.0
1714376587.0921469,83,0.0
1714376587.4695232,84,0.0
1714376588.2098434,85,0.0
1714376588.4936507,86,0.0
1714376588.7484996,87,0.0
1714376589.0598474,88,0.0
1714376589.479536,89,0.0
1714376589.59193,90,0.0
1714376589.725703,91,0.0
1714376589.884033,92,0.0
1714376590.0223353,93,0.0
1714376590.2987766,94,0.0
1714376590.5230389,95,0.0
1714376591.0116968,96,1.0
1714376591.126438,97,0.0
1714376591.284937,98,0.0
1714376591.836917,99,0.0
1714376591.9248865,100,1.0
1714376592.0791988,101,0.0
1714376592.5035052,102,1.0
1714376592.8371265,103,0.0
1714376593.1102018,104,1.0
1714376593.306953,105,1.0
1714376593.5550537,106,0.0
1714376593.6673694,107,1.0
1714376594.3973641,108,0.0
1714376594.7530699,109,0.0
1714376595.3618343,110,0.0
1714376595.4038231,111,1.0
1714376595.4811738,112,1.0
1714376595.7004647,113,0.0
1714376596.3097272,114,0.0
1714376596.9425719,115,0.0
1714376597.766519,116,0.0
1714376597.9240224,117,0.0
1714376598.0342343,118,0.0
1714376598.1878018,119,0.0
1714376598.3013687,120,0.0
1714376598.48212,121,1.0
1714376598.6337152,122,0.0
1714376598.7934842,123,0.0
1714376599.0771897,124,0.0
1714376599.2137232,125,0.0
1714376599.3313005,126,0.0
1714376599.444368,127,0.0
1714376599.630689,128,0.0
1714376599.7608054,129,0.0
1714376600.039828,130,0.0
1714376600.189252,131,0.0
1714376600.4084678,132,0.0
1714376600.659372,133,0.0
1714376601.0087423,134,0.0
1714376601.205728,135,0.0
1714376601.3919015,136,0.0
1714376601.826241,137,0.0
1714376601.981193,138,0.0
1714376602.5753844,139,0.0
1714376603.0758717,140,0.0
1714376603.2848425,141,0.0
1714376603.590165,142,0.0
1714376603.762187,143,0.0
1714376603.9180381,144,0.0
1714376604.0740871,145,1.0
1714376604.2900686,146,0.0
1714376604.4418917,147,0.0
1714376604.573876,148,0.0
1714376604.83852,149,1.0
1714376604.9959178,150,0.0
1714376605.1080487,151,1.0
1714376605.3138587,152,0.0
1714376605.5758889,153,0.0
1714376606.0045094,154,0.0
1714376606.0484552,155,1.0
1714376606.1946363,156,1.0
1714376606.4397724,157,0.0
1714376606.574122,158,1.0
1714376606.7588444,159,1.0
